Entity	 X(m)	 Y(m)	 Z(m)	Node ID	
Mesh Node 1	-0.62	0.45	0.	1577	
Mesh Node 2	-0.62	0.46	0.	1578	
Mesh Node 3	-0.62	0.47	0.	1579	
Mesh Node 4	-0.62	0.48	0.	1580	
Mesh Node 5	-0.62	0.49	0.	1581	
Mesh Node 6	-0.62	0.51	0.	836	
Mesh Node 7	-0.62	0.52	0.	837	
Mesh Node 8	-0.62	0.53	0.	838	
Mesh Node 9	-0.62	0.54	0.	839	
Mesh Node 10	-0.62	0.55	0.	840	
Mesh Node 11	-0.62	0.56	0.	841	
Mesh Node 12	-0.62	0.57	0.	842	
Mesh Node 13	-0.62	0.58	0.	843	
Mesh Node 14	-0.62	0.59	0.	844	
Mesh Node 15	-0.62	0.6	0.	845	
Mesh Node 16	-0.62	0.61	0.	846	
Mesh Node 17	-0.62	0.5	0.	800	
Mesh Node 18	-0.62	0.62	0.	824	
Mesh Node 19	-0.61	0.49	0.	5604	
Mesh Node 20	-0.61	0.62	0.	825	
Mesh Node 21	-0.61	0.48	0.	5603	
Mesh Node 22	-0.61	0.45	0.	5600	
Mesh Node 23	-0.61	0.46	0.	5601	
Mesh Node 24	-0.61	0.47	0.	5602	
Mesh Node 25	-0.61	0.61	0.	11472	
Mesh Node 26	-0.61	0.5	0.	811	
Mesh Node 27	-0.61	0.51	0.	11462	
Mesh Node 28	-0.61	0.52	0.	11463	
Mesh Node 29	-0.61	0.53	0.	11464	
Mesh Node 30	-0.61	0.54	0.	11465	
Mesh Node 31	-0.61	0.55	0.	11466	
Mesh Node 32	-0.61	0.56	0.	11467	
Mesh Node 33	-0.61	0.57	0.	11468	
Mesh Node 34	-0.61	0.58	0.	11469	
Mesh Node 35	-0.61	0.59	0.	11470	
Mesh Node 36	-0.61	0.6	0.	11471	
Mesh Node 37	-0.6	0.61	0.	11434	
Mesh Node 38	-0.6	0.49	0.	5605	
Mesh Node 39	-0.6	0.62	0.	826	
