Entity	 X(m)	 Y(m)	 Z(m)	Node ID	
Mesh Node 1	-0.62	0.	0.	515	
Mesh Node 2	-0.61	1.0272e-033	0.	550	
Mesh Node 3	-0.6	2.0543e-033	0.	549	
Mesh Node 4	-0.59	3.0815e-033	0.	548	
Mesh Node 5	-0.58	4.1087e-033	0.	547	
Mesh Node 6	-0.57	5.1358e-033	0.	546	
Mesh Node 7	-0.56	6.163e-033	0.	545	
Mesh Node 8	-0.55	7.1901e-033	0.	544	
Mesh Node 9	-0.54	8.2173e-033	0.	543	
Mesh Node 10	-0.53	9.2445e-033	0.	542	
Mesh Node 11	-0.52	1.0272e-032	0.	541	
Mesh Node 12	-0.51	1.1299e-032	0.	540	
Mesh Node 13	-0.5	0.	0.	477	
Mesh Node 14	-0.49	1.1833e-032	0.	624	
Mesh Node 15	-0.48	1.134e-032	0.	623	
Mesh Node 16	-0.47	1.0847e-032	0.	622	
Mesh Node 17	-0.46	1.0354e-032	0.	621	
Mesh Node 18	-0.45	9.8608e-033	0.	620	
Mesh Node 19	-0.44	9.3677e-033	0.	619	
Mesh Node 20	-0.43	8.8747e-033	0.	618	
Mesh Node 21	-0.42	8.3816e-033	0.	617	
Mesh Node 22	-0.41	7.8886e-033	0.	616	
Mesh Node 23	-0.4	7.3956e-033	0.	615	
Mesh Node 24	-0.39	6.9025e-033	0.	614	
Mesh Node 25	-0.38	6.4095e-033	0.	613	
Mesh Node 26	-0.37	5.9165e-033	0.	612	
Mesh Node 27	-0.36	5.4234e-033	0.	611	
Mesh Node 28	-0.35	4.9304e-033	0.	610	
Mesh Node 29	-0.34	4.4373e-033	0.	609	
Mesh Node 30	-0.33	3.9443e-033	0.	608	
Mesh Node 31	-0.32	3.4513e-033	0.	607	
Mesh Node 32	-0.31	2.9582e-033	0.	606	
Mesh Node 33	-0.3	2.4652e-033	0.	605	
Mesh Node 34	-0.29	1.9722e-033	0.	604	
Mesh Node 35	-0.28	1.4791e-033	0.	603	
Mesh Node 36	-0.27	9.8608e-034	0.	602	
Mesh Node 37	-0.26	4.9304e-034	0.	601	
