Node Number	Directional Deformation (m)
515	0.
550	0.
549	0.
548	0.
547	0.
546	0.
545	0.
544	0.
543	0.
542	0.
541	0.
540	0.
477	0.
477	0.
624	-1.4533e-009
623	-5.7454e-009
622	-1.2814e-008
621	-2.2597e-008
620	-3.5033e-008
619	-5.0062e-008
618	-6.7624e-008
617	-8.7659e-008
616	-1.1011e-007
615	-1.3492e-007
614	-1.6203e-007
613	-1.9138e-007
612	-2.2293e-007
611	-2.5661e-007
610	-2.9238e-007
609	-3.3017e-007
608	-3.6995e-007
607	-4.1165e-007
606	-4.5523e-007
605	-5.0064e-007
604	-5.4783e-007
603	-5.9676e-007
602	-6.4738e-007
601	-6.9963e-007
551	-7.5349e-007
676	-2.5047e-006
724	-2.5869e-006
723	-2.6698e-006
722	-2.7533e-006
721	-2.8374e-006
720	-2.9222e-006
719	-3.0075e-006
718	-3.0933e-006
717	-3.1797e-006
716	-3.2665e-006
715	-3.3539e-006
714	-3.4417e-006
713	-3.5299e-006
712	-3.6185e-006
711	-3.7075e-006
710	-3.797e-006
709	-3.8867e-006
708	-3.9768e-006
707	-4.0672e-006
706	-4.1579e-006
705	-4.249e-006
704	-4.3402e-006
703	-4.4318e-006
702	-4.5235e-006
701	-4.6155e-006
625	-4.7077e-006
763	-7.0504e-006
798	-7.1448e-006
797	-7.2393e-006
796	-7.3337e-006
795	-7.4282e-006
794	-7.5228e-006
793	-7.6173e-006
792	-7.7119e-006
791	-7.8065e-006
790	-7.9011e-006
789	-7.9958e-006
788	-8.0905e-006
726	-8.1852e-006
625	-4.7077e-006
1269	-4.8001e-006
1268	-4.8927e-006
1267	-4.9854e-006
1266	-5.0783e-006
1265	-5.1714e-006
1264	-5.2646e-006
1263	-5.3579e-006
1262	-5.4513e-006
1261	-5.5449e-006
1260	-5.6385e-006
1259	-5.7323e-006
1258	-5.8261e-006
1257	-5.9199e-006
1256	-6.0139e-006
1255	-6.1079e-006
1254	-6.202e-006
1253	-6.2961e-006
1252	-6.3903e-006
1251	-6.4845e-006
1250	-6.5787e-006
1249	-6.673e-006
1248	-6.7673e-006
1247	-6.8616e-006
1246	-6.956e-006
763	-7.0504e-006
551	-7.5349e-007
1221	-8.089e-007
1220	-8.6583e-007
1219	-9.2422e-007
1218	-9.8404e-007
1217	-1.0453e-006
1216	-1.1078e-006
1215	-1.1717e-006
1214	-1.2368e-006
1213	-1.3032e-006
1212	-1.3707e-006
1211	-1.4395e-006
1210	-1.5093e-006
1209	-1.5803e-006
1208	-1.6522e-006
1207	-1.7253e-006
1206	-1.7993e-006
1205	-1.8742e-006
1204	-1.9501e-006
1203	-2.0269e-006
1202	-2.1045e-006
1201	-2.183e-006
1200	-2.2623e-006
1199	-2.3423e-006
1198	-2.4231e-006
676	-2.5047e-006
551	-7.5349e-007
1221	-8.089e-007
1220	-8.6583e-007
1219	-9.2422e-007
1218	-9.8404e-007
1217	-1.0453e-006
1216	-1.1078e-006
1215	-1.1717e-006
1214	-1.2368e-006
1213	-1.3032e-006
1212	-1.3707e-006
1211	-1.4395e-006
1210	-1.5093e-006
1209	-1.5803e-006
1208	-1.6522e-006
1207	-1.7253e-006
1206	-1.7993e-006
1205	-1.8742e-006
1204	-1.9501e-006
1203	-2.0269e-006
1202	-2.1045e-006
1201	-2.183e-006
1200	-2.2623e-006
1199	-2.3423e-006
1198	-2.4231e-006
676	-2.5047e-006
625	-4.7077e-006
1269	-4.8001e-006
1268	-4.8927e-006
1267	-4.9854e-006
1266	-5.0783e-006
1265	-5.1714e-006
1264	-5.2646e-006
1263	-5.3579e-006
1262	-5.4513e-006
1261	-5.5449e-006
1260	-5.6385e-006
1259	-5.7323e-006
1258	-5.8261e-006
1257	-5.9199e-006
1256	-6.0139e-006
1255	-6.1079e-006
1254	-6.202e-006
1253	-6.2961e-006
1252	-6.3903e-006
1251	-6.4845e-006
1250	-6.5787e-006
1249	-6.673e-006
1248	-6.7673e-006
1247	-6.8616e-006
1246	-6.956e-006
763	-7.0504e-006
515	0.
550	0.
549	0.
548	0.
547	0.
546	0.
545	0.
544	0.
543	0.
542	0.
541	0.
540	0.
477	0.
477	0.
624	-1.4533e-009
623	-5.7454e-009
622	-1.2814e-008
621	-2.2597e-008
620	-3.5033e-008
619	-5.0062e-008
618	-6.7624e-008
617	-8.7659e-008
616	-1.1011e-007
615	-1.3492e-007
614	-1.6203e-007
613	-1.9138e-007
612	-2.2293e-007
611	-2.5661e-007
610	-2.9238e-007
609	-3.3017e-007
608	-3.6995e-007
607	-4.1165e-007
606	-4.5523e-007
605	-5.0064e-007
604	-5.4783e-007
603	-5.9676e-007
602	-6.4738e-007
601	-6.9963e-007
551	-7.5349e-007
676	-2.5047e-006
724	-2.5869e-006
723	-2.6698e-006
722	-2.7533e-006
721	-2.8374e-006
720	-2.9222e-006
719	-3.0075e-006
718	-3.0933e-006
717	-3.1797e-006
716	-3.2665e-006
715	-3.3539e-006
714	-3.4417e-006
713	-3.5299e-006
712	-3.6185e-006
711	-3.7075e-006
710	-3.797e-006
709	-3.8867e-006
708	-3.9768e-006
707	-4.0672e-006
706	-4.1579e-006
705	-4.249e-006
704	-4.3402e-006
703	-4.4318e-006
702	-4.5235e-006
701	-4.6155e-006
625	-4.7077e-006
763	-7.0504e-006
798	-7.1448e-006
797	-7.2393e-006
796	-7.3337e-006
795	-7.4282e-006
794	-7.5228e-006
793	-7.6173e-006
792	-7.7119e-006
791	-7.8065e-006
790	-7.9011e-006
789	-7.9958e-006
788	-8.0905e-006
726	-8.1852e-006
