Node Number	Directional Deformation (m)
3	0.
4	0.
5	0.
6	0.
7	0.
8	0.
1	0.
9	0.
10	0.
11	0.
12	0.
13	0.
2	0.
15415	2.971e-010
15416	5.3077e-011
15417	-9.2984e-011
15418	-1.7336e-010
15419	-2.0716e-010
15420	-2.0257e-010
15421	-1.6224e-010
15422	-8.5596e-011
15423	2.9052e-011
15424	1.7706e-010
15425	3.0464e-010
73	6.398e-010
109	1.3089e-010
15351	-6.1673e-010
15353	-9.1121e-010
15354	-1.0677e-009
15360	-1.5025e-010
15414	5.2169e-010
15463	-1.1089e-009
15355	-1.0494e-009
15440	-9.0273e-010
15356	-6.9279e-010
72	1.4011e-009
15357	-4.855e-010
15361	-4.7873e-010
108	-1.2008e-009
15321	-2.5071e-009
15322	-2.8793e-009
71	1.6592e-009
15327	-1.9007e-009
15413	1.6282e-010
15352	-1.0211e-009
15499	-3.0537e-009
15323	-3.0651e-009
15362	-3.1064e-009
107	-4.4792e-009
15297	-2.956e-009
15324	-2.7994e-009
15338	-2.7449e-009
70	9.5829e-010
15290	-5.9618e-009
15503	-6.7339e-009
15473	-7.0235e-009
15363	-7.8939e-009
15412	-1.1927e-009
15296	-5.2836e-009
106	-9.9178e-009
15428	-2.9372e-009
15320	-4.2901e-009
15474	-6.3745e-009
15292	-6.5803e-009
15293	-6.6581e-009
69	-1.0636e-009
15298	-1.2771e-008
15328	-1.3535e-008
15364	-1.4981e-008
105	-1.7629e-008
15411	-3.8901e-009
15488	-6.2295e-009
15319	-8.1028e-009
15291	-9.548e-009
15273	-1.0617e-008
15281	-1.231e-008
15254	-1.1373e-008
15270	-1.19e-008
15454	-1.9254e-008
15441	-2.0115e-008
15444	-2.1071e-008
15478	-2.239e-008
68	-4.7082e-009
15365	-2.4436e-008
104	-2.7675e-008
15410	-8.2221e-009
15251	-1.8296e-008
15468	-1.1181e-008
15452	-1.3615e-008
15429	-1.5568e-008
15455	-1.7102e-008
67	-1.0228e-008
15255	-2.8809e-008
15274	-3.0205e-008
15299	-3.1727e-008
15442	-3.3643e-008
15366	-3.6291e-008
103	-4.0083e-008
15409	-1.4434e-008
15350	-1.8031e-008
15318	-2.1056e-008
15486	-2.3564e-008
15269	-2.5626e-008
15250	-2.7334e-008
15485	-4.0675e-008
15451	-4.2662e-008
15457	-4.4791e-008
15487	-4.7319e-008
66	-1.7831e-008
15367	-5.0556e-008
102	-5.4864e-008
15408	-2.2727e-008
15480	-2.6972e-008
15445	-3.0612e-008
15449	-3.371e-008
15470	-3.6346e-008
15427	-3.8625e-008
15256	-5.4926e-008
15466	-5.7532e-008
15300	-6.0284e-008
15329	-6.3422e-008
15368	-6.7227e-008
65	-2.7686e-008
101	-7.2012e-008
15407	-3.3264e-008
15349	-3.8159e-008
15317	-4.2427e-008
15289	-4.6138e-008
15268	-4.938e-008
15249	-5.2264e-008
15471	-7.1602e-008
15458	-7.4837e-008
15498	-7.821e-008
15330	-8.1943e-008
15369	-8.6286e-008
64	-3.9922e-008
100	-9.1513e-008
15406	-4.6167e-008
15490	-5.1708e-008
15500	-5.6607e-008
15494	-6.0941e-008
15456	-6.4805e-008
15476	-6.8312e-008
63	-5.4637e-008
15489	-9.0721e-008
15275	-9.4579e-008
15462	-9.8559e-008
15331	-1.0286e-007
15370	-1.0771e-007
99	-1.1335e-007
15405	-6.1529e-008
15448	-6.7703e-008
15316	-7.3227e-008
15430	-7.8183e-008
15267	-8.267e-008
15248	-8.6804e-008
15257	-1.1229e-007
15450	-1.1675e-007
15301	-1.2131e-007
15332	-1.2616e-007
15371	-1.3148e-007
62	-7.1899e-008
98	-1.3748e-007
15404	-7.9411e-008
15483	-8.6198e-008
15479	-9.2332e-008
15465	-9.7901e-008
15497	-1.03e-007
15247	-1.0775e-007
15258	-1.3628e-007
15276	-1.4132e-007
15302	-1.4644e-007
15333	-1.5179e-007
15372	-1.5755e-007
61	-9.1749e-008
97	-1.6389e-007
15403	-9.9849e-008
15348	-1.0722e-007
15434	-1.1395e-007
15288	-1.2011e-007
15266	-1.2581e-007
15246	-1.3116e-007
15259	-1.6268e-007
15277	-1.6827e-007
15495	-1.7391e-007
15438	-1.7973e-007
15373	-1.8589e-007
60	-1.1421e-007
96	-1.9254e-007
15402	-1.2286e-007
15492	-1.3079e-007
15501	-1.3808e-007
15447	-1.4481e-007
15432	-1.5107e-007
15475	-1.5699e-007
15260	-1.9146e-007
15278	-1.9756e-007
15303	-2.0368e-007
15334	-2.0993e-007
15374	-2.1646e-007
59	-1.3927e-007
95	-2.2339e-007
15401	-1.4844e-007
15347	-1.569e-007
15315	-1.6471e-007
15287	-1.7198e-007
15265	-1.7878e-007
15245	-1.8524e-007
15446	-2.2258e-007
15482	-2.2916e-007
15502	-2.3571e-007
15477	-2.4236e-007
15443	-2.4922e-007
58	-1.6693e-007
94	-2.564e-007
15400	-1.7658e-007
15491	-1.8552e-007
15464	-1.9383e-007
15433	-2.0159e-007
15264	-2.089e-007
15244	-2.1587e-007
15261	-2.5599e-007
15279	-2.6301e-007
15304	-2.6997e-007
15335	-2.7698e-007
15375	-2.8414e-007
57	-1.9715e-007
93	-2.9154e-007
15399	-2.0723e-007
15460	-2.1662e-007
15314	-2.2539e-007
15286	-2.3362e-007
15263	-2.414e-007
15243	-2.4882e-007
15467	-2.9166e-007
15437	-2.9907e-007
15439	-3.0639e-007
