Entity	 X(m)	 Y(m)	 Z(m)	Node ID	
Mesh Node 1	-5.	-0.89992	0.	183	
Mesh Node 2	-5.	-0.84993	0.	10376	
Mesh Node 3	-5.	-0.79993	0.	184	
Mesh Node 4	-5.	-0.74994	0.	10378	
Mesh Node 5	-5.	-0.69994	0.	185	
Mesh Node 6	-5.	-0.64994	0.	10380	
Mesh Node 7	-5.	-0.59995	0.	186	
Mesh Node 8	-5.	-0.54995	0.	10382	
Mesh Node 9	-5.	-0.49995	0.	187	
Mesh Node 10	-5.	-0.44996	0.	10384	
Mesh Node 11	-5.	-0.39996	0.	188	
Mesh Node 12	-5.	-0.34997	0.	10386	
Mesh Node 13	-5.	-0.29997	0.	189	
Mesh Node 14	-5.	-0.24997	0.	10388	
Mesh Node 15	-5.	-0.19998	0.	190	
Mesh Node 16	-5.	-0.14998	0.	10390	
Mesh Node 17	-5.	-9.9985e-002	0.	191	
Mesh Node 18	-5.	-4.9992e-002	0.	10193	
Mesh Node 19	-5.	0.	0.	108	
Mesh Node 20	-5.	4.9996e-002	0.	10194	
Mesh Node 21	-5.	9.9992e-002	0.	298	
Mesh Node 22	-5.	0.14999	0.	10640	
Mesh Node 23	-5.	0.19998	0.	299	
Mesh Node 24	-5.	0.24998	0.	10642	
Mesh Node 25	-5.	0.29998	0.	300	
Mesh Node 26	-5.	0.34997	0.	10644	
Mesh Node 27	-5.	0.39997	0.	301	
Mesh Node 28	-5.	0.44997	0.	10646	
Mesh Node 29	-5.	0.49996	0.	302	
Mesh Node 30	-5.	0.54996	0.	10648	
Mesh Node 31	-5.	0.59995	0.	303	
Mesh Node 32	-5.	0.64995	0.	10650	
Mesh Node 33	-5.	0.69995	0.	304	
Mesh Node 34	-5.	0.74994	0.	10652	
Mesh Node 35	-5.	0.79994	0.	305	
Mesh Node 36	-5.	0.84994	0.	10654	
Mesh Node 37	-4.95	0.79994	0.	10655	
Mesh Node 38	-4.95	0.69994	0.	10653	
Mesh Node 39	-4.95	0.59995	0.	10651	
Mesh Node 40	-4.95	0.49996	0.	10649	
Mesh Node 41	-4.95	0.39997	0.	10647	
Mesh Node 42	-4.95	0.29997	0.	10645	
Mesh Node 43	-4.95	0.19998	0.	10643	
Mesh Node 44	-4.95	9.9989e-002	0.	10641	
Mesh Node 45	-4.95	-0.19998	0.	10391	
Mesh Node 46	-4.95	-9.9989e-002	0.	10392	
Mesh Node 47	-4.95	3.1721e-018	0.	10192	
Mesh Node 48	-4.95	-0.29997	0.	10389	
Mesh Node 49	-4.95	-0.39997	0.	10387	
Mesh Node 50	-4.95	-0.49996	0.	10385	
Mesh Node 51	-4.95	-0.59995	0.	10383	
Mesh Node 52	-4.95	-0.69994	0.	10381	
Mesh Node 53	-4.95	-0.79994	0.	10379	
Mesh Node 54	-4.95	-0.89993	0.	10377	
Mesh Node 55	-4.9	0.84993	0.	24571	
Mesh Node 56	-4.9	0.79993	0.	6970	
Mesh Node 57	-4.9	0.74993	0.	24570	
Mesh Node 58	-4.9	0.69994	0.	6969	
Mesh Node 59	-4.9	0.64994	0.	24569	
Mesh Node 60	-4.9	0.59995	0.	6968	
Mesh Node 61	-4.9	0.54995	0.	24567	
Mesh Node 62	-4.9	0.49995	0.	6967	
Mesh Node 63	-4.9	0.44996	0.	24565	
Mesh Node 64	-4.9	0.39996	0.	6966	
Mesh Node 65	-4.9	0.34997	0.	24563	
Mesh Node 66	-4.9	0.29997	0.	6965	
Mesh Node 67	-4.9	0.24997	0.	24561	
Mesh Node 68	-4.9	0.19998	0.	6964	
Mesh Node 69	-4.9	0.14998	0.	24560	
Mesh Node 70	-4.9	9.9985e-002	0.	6963	
Mesh Node 71	-4.9	4.9992e-002	0.	10294	
Mesh Node 72	-4.9	-0.19998	0.	9365	
Mesh Node 73	-4.9	-0.14999	0.	29198	
Mesh Node 74	-4.9	-9.9992e-002	0.	9366	
Mesh Node 75	-4.9	-0.24998	0.	29196	
Mesh Node 76	-4.9	-4.9996e-002	0.	10295	
Mesh Node 77	-4.9	6.3441e-018	0.	142	
Mesh Node 78	-4.9	-0.29998	0.	9364	
Mesh Node 79	-4.9	-0.34997	0.	29194	
Mesh Node 80	-4.9	-0.39997	0.	9363	
Mesh Node 81	-4.9	-0.44997	0.	29193	
Mesh Node 82	-4.9	-0.49996	0.	9362	
Mesh Node 83	-4.9	-0.54996	0.	29192	
Mesh Node 84	-4.9	-0.59995	0.	9361	
Mesh Node 85	-4.9	-0.64995	0.	29191	
Mesh Node 86	-4.9	-0.69995	0.	9360	
Mesh Node 87	-4.9	-0.74994	0.	29189	
Mesh Node 88	-4.9	-0.79994	0.	9359	
Mesh Node 89	-4.9	-0.84994	0.	29188	
Mesh Node 90	-4.9	-0.89993	0.	9358	
Mesh Node 91	-4.85	0.69993	0.	24293	
Mesh Node 92	-4.85	0.79993	0.	24294	
Mesh Node 93	-4.85	0.49995	0.	24568	
Mesh Node 94	-4.85	0.59995	0.	24295	
Mesh Node 95	-4.85	0.29997	0.	24564	
Mesh Node 96	-4.85	0.39996	0.	24566	
Mesh Node 97	-4.85	0.19998	0.	24562	
Mesh Node 98	-4.85	9.9989e-002	0.	24558	
Mesh Node 99	-4.85	9.5162e-018	0.	10291	
Mesh Node 100	-4.85	-0.19999	0.	29199	
Mesh Node 101	-4.85	-9.9996e-002	0.	28972	
Mesh Node 102	-4.85	-0.29998	0.	29197	
Mesh Node 103	-4.85	-0.39997	0.	29195	
Mesh Node 104	-4.85	-0.59995	0.	28600	
Mesh Node 105	-4.85	-0.49996	0.	28593	
Mesh Node 106	-4.85	-0.79994	0.	29190	
Mesh Node 107	-4.85	-0.69995	0.	28597	
Mesh Node 108	-4.85	-0.89993	0.	28602	
Mesh Node 109	-4.8	0.84992	0.	24288	
Mesh Node 110	-4.8	0.69993	0.	6813	
Mesh Node 111	-4.8	0.74993	0.	24291	
Mesh Node 112	-4.8	0.64994	0.	24292	
Mesh Node 113	-4.8	0.49995	0.	7225	
Mesh Node 114	-4.8	0.79993	0.	6814	
Mesh Node 115	-4.8	0.54995	0.	24297	
Mesh Node 116	-4.8	0.44995	0.	24867	
Mesh Node 117	-4.8	0.59994	0.	6815	
Mesh Node 118	-4.8	0.29996	0.	7255	
Mesh Node 119	-4.8	0.34996	0.	24896	
Mesh Node 120	-4.8	0.39996	0.	7568	
Mesh Node 121	-4.8	0.24997	0.	24895	
Mesh Node 122	-4.8	0.19998	0.	7555	
Mesh Node 123	-4.8	0.14999	0.	24559	
Mesh Node 124	-4.8	9.9992e-002	0.	6962	
Mesh Node 125	-4.8	4.9996e-002	0.	10292	
Mesh Node 126	-4.8	1.2688e-017	0.	141	
Mesh Node 127	-4.8	-5.e-002	0.	10293	
Mesh Node 128	-4.8	-0.19999	0.	9851	
Mesh Node 129	-4.8	-0.15	0.	28973	
Mesh Node 130	-4.8	-0.1	0.	9183	
Mesh Node 131	-4.8	-0.39997	0.	9868	
Mesh Node 132	-4.8	-0.24999	0.	29432	
Mesh Node 133	-4.8	-0.34998	0.	29433	
Mesh Node 134	-4.8	-0.29998	0.	9576	
Mesh Node 135	-4.8	-0.44997	0.	28595	
Mesh Node 136	-4.8	-0.59995	0.	9042	
Mesh Node 137	-4.8	-0.54996	0.	28592	
Mesh Node 138	-4.8	-0.49996	0.	9040	
Mesh Node 139	-4.8	-0.79994	0.	9795	
Mesh Node 140	-4.8	-0.64995	0.	28596	
Mesh Node 141	-4.8	-0.74994	0.	28598	
Mesh Node 142	-4.8	-0.69995	0.	9041	
Mesh Node 143	-4.8	-0.84993	0.	28603	
Mesh Node 144	-4.8	-0.89993	0.	9043	
Mesh Node 145	-4.75	0.69992	0.	23929	
Mesh Node 146	-4.75	0.79991	0.	23933	
Mesh Node 147	-4.75	0.59993	0.	24296	
Mesh Node 148	-4.75	0.49994	0.	23927	
Mesh Node 149	-4.75	0.29997	0.	24130	
Mesh Node 150	-4.75	0.39996	0.	24119	
Mesh Node 151	-4.75	0.19999	0.	24214	
Mesh Node 152	-4.75	9.9994e-002	0.	24557	
Mesh Node 153	-4.75	1.586e-017	0.	10288	
Mesh Node 154	-4.75	-0.1	0.	28971	
Mesh Node 155	-4.75	-0.2	0.	28956	
Mesh Node 156	-4.75	-0.29999	0.	29431	
Mesh Node 157	-4.75	-0.39997	0.	29491	
Mesh Node 158	-4.75	-0.49996	0.	28594	
Mesh Node 159	-4.75	-0.59995	0.	28539	
Mesh Node 160	-4.75	-0.69995	0.	28599	
Mesh Node 161	-4.75	-0.79994	0.	29546	
Mesh Node 162	-4.75	-0.89993	0.	28537	
Mesh Node 163	-4.7	0.84989	0.	23932	
Mesh Node 164	-4.7	0.7999	0.	6660	
Mesh Node 165	-4.7	0.74991	0.	23928	
Mesh Node 166	-4.7	0.69991	0.	6659	
Mesh Node 167	-4.7	0.64992	0.	23930	
Mesh Node 168	-4.7	0.59992	0.	7179	
Mesh Node 169	-4.7	0.54993	0.	23926	
Mesh Node 170	-4.7	0.49993	0.	6658	
Mesh Node 171	-4.7	0.44995	0.	23925	
Mesh Node 172	-4.7	0.29998	0.	6747	
Mesh Node 173	-4.7	0.24998	0.	24129	
Mesh Node 174	-4.7	9.9996e-002	0.	6961	
Mesh Node 175	-4.7	4.9998e-002	0.	10289	
