Node Number	Directional Deformation (m)
87	3.2781e-003
108	3.1476e-003
109	3.1305e-003
110	3.0379e-003
111	2.9665e-003
112	2.9119e-003
113	2.8694e-003
114	2.8362e-003
115	2.8106e-003
116	2.7912e-003
117	2.7772e-003
118	2.7678e-003
119	2.7624e-003
120	2.7605e-003
121	2.7618e-003
122	2.7658e-003
123	2.7723e-003
124	2.7811e-003
125	2.7918e-003
126	2.8044e-003
127	2.8186e-003
128	2.8342e-003
129	2.8511e-003
130	2.8693e-003
131	2.8884e-003
132	2.9084e-003
133	2.9293e-003
134	2.9507e-003
135	2.9727e-003
136	2.9951e-003
137	3.0176e-003
138	3.0403e-003
139	3.0628e-003
140	3.0851e-003
141	3.1068e-003
142	3.1277e-003
192	0.
193	3.6403e-004
194	5.5964e-004
195	7.2869e-004
196	8.8269e-004
197	1.0277e-003
198	1.1678e-003
199	1.3037e-003
200	1.4366e-003
201	1.5679e-003
202	1.6967e-003
203	1.8255e-003
204	1.9525e-003
205	2.0801e-003
206	2.2075e-003
207	2.3359e-003
208	2.4665e-003
209	2.5994e-003
210	2.7395e-003
211	2.8844e-003
212	3.0829e-003
213	0.
214	0.
215	0.
216	0.
217	0.
218	0.
219	0.
220	0.
221	0.
222	0.
223	0.
224	0.
225	0.
226	0.
227	0.
228	0.
229	0.
230	0.
231	0.
232	0.
233	0.
234	0.
235	0.
236	0.
237	0.
238	0.
239	0.
240	0.
241	0.
242	0.
243	0.
244	0.
245	0.
246	0.
247	0.
248	5.0674e-004
249	4.7663e-004
250	4.4659e-004
251	4.1649e-004
252	3.8633e-004
253	3.5611e-004
254	3.2587e-004
255	2.9564e-004
256	2.6543e-004
257	2.3531e-004
258	2.053e-004
259	1.7547e-004
260	1.4587e-004
261	1.1656e-004
262	8.762e-005
263	5.9122e-005
264	3.1151e-005
265	3.7997e-006
266	-2.2836e-005
267	-4.8653e-005
268	-7.3542e-005
269	-9.7392e-005
270	-1.2009e-004
271	-1.4151e-004
272	-1.6153e-004
273	-1.8005e-004
274	-1.9694e-004
275	-2.1208e-004
276	-2.2538e-004
277	-2.3672e-004
278	-2.4602e-004
279	-2.5319e-004
280	-2.5816e-004
281	-2.6087e-004
282	-2.6129e-004
283	-2.5939e-004
284	-2.5517e-004
285	-2.4863e-004
286	-2.3983e-004
287	-2.2881e-004
288	-2.1566e-004
289	-2.0049e-004
290	-1.8341e-004
291	-1.6458e-004
292	-1.4417e-004
293	-1.2236e-004
294	-9.9356e-005
295	-7.5382e-005
296	-5.0667e-005
297	-2.5455e-005
298	3.1452e-003
299	3.1381e-003
300	3.1264e-003
301	3.11e-003
302	3.0893e-003
303	3.0643e-003
304	3.0351e-003
305	3.0021e-003
306	2.9654e-003
307	2.9253e-003
308	2.882e-003
309	2.8358e-003
310	2.787e-003
311	2.7358e-003
312	2.6825e-003
313	2.6274e-003
314	2.5706e-003
315	2.5125e-003
316	2.4532e-003
317	2.393e-003
318	2.332e-003
319	2.2704e-003
320	2.2083e-003
321	2.1459e-003
322	2.0833e-003
323	2.0206e-003
324	1.9578e-003
325	1.8949e-003
326	1.8322e-003
327	1.7694e-003
328	1.7068e-003
329	1.6442e-003
330	1.5817e-003
331	1.5193e-003
332	1.4568e-003
333	1.3944e-003
334	1.3319e-003
335	1.2694e-003
336	1.2067e-003
337	1.1439e-003
338	1.081e-003
339	1.0178e-003
340	9.5451e-004
341	8.9098e-004
342	8.2726e-004
343	7.6337e-004
344	6.9934e-004
345	6.3523e-004
346	5.711e-004
5294	2.645e-003
5295	2.7924e-003
5296	7.676e-004
5297	9.7633e-004
5298	1.0286e-003
5299	9.309e-004
5300	1.0597e-003
5301	1.0827e-003
5302	1.0308e-003
5303	1.1281e-003
5304	8.825e-004
5305	1.2397e-003
5306	8.3693e-004
5307	9.3117e-004
5308	1.0296e-003
5309	1.1317e-003
5310	7.8877e-004
5311	9.8301e-004
5312	1.1211e-003
5313	1.4068e-003
5314	8.3191e-004
5315	1.0888e-003
5316	1.1898e-003
5317	7.3942e-004
5318	1.2977e-003
5319	7.0158e-004
5320	8.3888e-004
5321	7.9324e-004
5322	9.317e-004
5323	8.8506e-004
5324	1.0223e-003
5325	9.7771e-004
5326	1.2321e-003
5327	1.1765e-003
5328	1.2886e-003
5329	9.3089e-004
5330	1.0364e-003
5331	6.5394e-004
