Node Number	Directional Deformation (m)
87	0.
108	0.
109	0.
110	0.
111	0.
112	0.
113	0.
114	0.
115	0.
116	0.
117	0.
118	0.
119	0.
120	0.
121	0.
122	0.
123	0.
124	0.
125	0.
126	0.
127	0.
128	0.
129	0.
130	0.
131	0.
132	0.
133	0.
134	0.
135	0.
136	0.
137	0.
138	0.
139	0.
140	0.
141	0.
142	0.
192	5.3102e-003
193	5.2361e-003
194	5.1361e-003
195	5.0406e-003
196	4.9326e-003
197	4.8152e-003
198	4.6864e-003
199	4.5469e-003
200	4.3964e-003
201	4.2336e-003
202	4.0599e-003
203	3.8718e-003
204	3.6713e-003
205	3.4539e-003
206	3.2202e-003
207	2.9661e-003
208	2.6872e-003
209	2.3792e-003
210	2.0286e-003
211	1.6126e-003
212	1.0931e-003
213	7.3391e-003
214	5.2654e-003
215	5.2452e-003
216	5.2384e-003
217	5.2429e-003
218	5.2567e-003
219	5.2784e-003
220	5.307e-003
221	5.3418e-003
222	5.3821e-003
223	5.4274e-003
224	5.4773e-003
225	5.5313e-003
226	5.589e-003
227	5.6502e-003
228	5.7145e-003
229	5.7817e-003
230	5.8516e-003
231	5.9238e-003
232	5.9983e-003
233	6.0747e-003
234	6.153e-003
235	6.2329e-003
236	6.3143e-003
237	6.397e-003
238	6.4808e-003
239	6.5656e-003
240	6.6511e-003
241	6.7373e-003
242	6.8238e-003
243	6.9106e-003
244	6.9973e-003
245	7.0839e-003
246	7.1699e-003
247	7.255e-003
248	4.4743e-003
249	4.5386e-003
250	4.6027e-003
251	4.6668e-003
252	4.731e-003
253	4.7953e-003
254	4.8598e-003
255	4.9246e-003
256	4.9897e-003
257	5.0551e-003
258	5.1208e-003
259	5.1869e-003
260	5.2535e-003
261	5.3205e-003
262	5.388e-003
263	5.4559e-003
264	5.5244e-003
265	5.5933e-003
266	5.6626e-003
267	5.7324e-003
268	5.8026e-003
269	5.8732e-003
270	5.944e-003
271	6.015e-003
272	6.0862e-003
273	6.1573e-003
274	6.2283e-003
275	6.299e-003
276	6.3693e-003
277	6.4389e-003
278	6.5078e-003
279	6.5756e-003
280	6.6421e-003
281	6.7072e-003
282	6.7705e-003
283	6.8318e-003
284	6.8909e-003
285	6.9474e-003
286	7.0011e-003
287	7.0517e-003
288	7.099e-003
289	7.1427e-003
290	7.1825e-003
291	7.2183e-003
292	7.2497e-003
293	7.2767e-003
294	7.2989e-003
295	7.3164e-003
296	7.329e-003
297	7.3366e-003
298	6.4018e-005
299	1.2827e-004
300	1.9299e-004
301	2.5839e-004
302	3.2468e-004
303	3.9205e-004
304	4.6067e-004
305	5.307e-004
306	6.0228e-004
307	6.7551e-004
308	7.5047e-004
309	8.2723e-004
310	9.0583e-004
311	9.8626e-004
312	1.0685e-003
313	1.1526e-003
314	1.2385e-003
315	1.326e-003
316	1.4151e-003
317	1.5058e-003
318	1.5979e-003
319	1.6913e-003
320	1.7859e-003
321	1.8816e-003
322	1.9782e-003
323	2.0757e-003
324	2.1739e-003
325	2.2727e-003
326	2.372e-003
327	2.4718e-003
328	2.5718e-003
329	2.672e-003
330	2.7724e-003
331	2.8729e-003
332	2.9734e-003
333	3.0739e-003
334	3.1743e-003
335	3.2747e-003
336	3.3749e-003
337	3.475e-003
338	3.575e-003
339	3.675e-003
340	3.7748e-003
341	3.8746e-003
342	3.9744e-003
343	4.0742e-003
344	4.1741e-003
345	4.274e-003
346	4.3739e-003
5294	1.0555e-003
5295	7.1093e-004
5296	3.8151e-003
5297	3.7869e-003
5298	3.7027e-003
5299	3.8577e-003
5300	3.6275e-003
5301	3.6132e-003
5302	3.6641e-003
5303	3.4994e-003
5304	3.9345e-003
5305	3.2971e-003
5306	4.0503e-003
5307	3.8955e-003
5308	3.7335e-003
5309	3.5358e-003
5310	4.1316e-003
5311	3.7351e-003
5312	3.5886e-003
5313	2.9877e-003
5314	4.0169e-003
5315	3.5404e-003
5316	3.364e-003
5317	4.2172e-003
5318	3.1739e-003
5319	4.3256e-003
5320	4.0856e-003
5321	4.164e-003
5322	3.9276e-003
5323	4.0067e-003
5324	3.7774e-003
5325	3.8507e-003
5326	3.3511e-003
5327	3.4698e-003
5328	3.2319e-003
5329	3.8154e-003
5330	3.6139e-003
5331	4.414e-003
5332	2.8641e-003
5333	4.1048e-003
5334	3.0496e-003
5335	3.8981e-003
5336	4.4937e-003
5337	4.5178e-003
5338	4.3543e-003
5339	4.197e-003
5340	4.0419e-003
5341	3.8945e-003
5342	3.9671e-003
5343	3.7547e-003
5344	3.8238e-003
5345	3.5218e-003
5346	3.2866e-003
5347	3.4043e-003
5348	3.0479e-003
5349	2.8048e-003
5350	2.9278e-003
5351	4.6374e-003
5352	4.4145e-003
5353	4.1995e-003
5354	2.9251e-003
5355	3.9891e-003
5356	4.7699e-003
5357	3.1118e-003
5358	4.6269e-003
5359	4.4656e-003
5360	4.3084e-003
5361	4.0085e-003
5362	3.8677e-003
5363	3.9374e-003
5364	3.4563e-003
5365	3.2231e-003
5366	2.9862e-003
5367	3.1052e-003
5368	2.746e-003
5369	2.8666e-003
5370	2.5015e-003
5371	2.6241e-003
5372	2.2555e-003
5373	2.3786e-003
5374	3.7985e-003
5375	4.5153e-003
5376	2.4337e-003
5377	3.3721e-003
5378	4.302e-003
5379	4.0825e-003
5380	2.9877e-003
5381	4.8868e-003
5382	4.7339e-003
5383	4.5758e-003
5384	4.4192e-003
5385	4.2678e-003
5386	4.1212e-003
5387	3.9795e-003
5388	4.0497e-003
5389	3.8424e-003
5390	3.619e-003
5391	3.3921e-003
