Node ID,x,y,disp_x,disp_y,stress_x,stress_y
87,-1.5,0.0,0.0032781,0.0,2.9953,9.1555
88,-1.4287,-0.071262,0.0030939,-0.0010816,1.8033,0.20318
89,-1.357,-0.14296,0.0028867,-0.001608,1.0296,1.1062
90,-1.2859,-0.2141,0.0027421,-0.0020259,0.83113,0.77026
91,-1.2142,-0.28582,0.0026011,-0.0023768,0.67404,0.67226
92,-1.143,-0.35701,0.0024681,-0.0026852,0.56661,0.55785
93,-1.0714,-0.42859,0.0023374,-0.0029643,0.47952,0.47546
94,-0.99999,-0.50001,0.002209,-0.0032186,0.40685,0.40357
95,-0.92864,-0.57136,0.0020815,-0.0034525,0.34348,0.34117
96,-0.85699,-0.64301,0.0019538,-0.0036699,0.28604,0.28424
97,-0.78586,-0.71414,0.0018268,-0.0038705,0.23327,0.23188
98,-0.71413,-0.78587,0.001698,-0.0040587,0.18285,0.18173
99,-0.64301,-0.85699,0.0015692,-0.0042325,0.13449,0.13356
108,-5.0,0.0,0.0031476,0.0,-0.00022751,0.63997
109,-1.6,2.157e-16,0.0031305,0.0,2.1684,3.1993
110,-1.7,2.0936e-16,0.0030379,0.0,1.6607,2.7056
111,-1.8,2.0301e-16,0.0029665,0.0,1.3064,2.2172
112,-1.9,1.9667e-16,0.0029119,0.0,1.0856,1.9837
113,-2.0,1.9032e-16,0.0028694,0.0,0.92529,1.8106
114,-2.1,1.8398e-16,0.0028362,0.0,0.80234,1.6864
115,-2.2,1.7764e-16,0.0028106,0.0,0.70373,1.5904
116,-2.3,1.7129e-16,0.0027912,0.0,0.62223,1.514
117,-2.4,1.6495e-16,0.0027772,0.0,0.55335,1.4511
118,-2.5,1.586e-16,0.0027678,0.0,0.49418,1.3981
119,-2.6,1.5226e-16,0.0027624,0.0,0.44262,1.3525
120,-2.7,1.4592e-16,0.0027605,0.0,0.39722,1.3124
121,-2.8,1.3957e-16,0.0027618,0.0,0.35687,1.2767
122,-2.9,1.3323e-16,0.0027658,0.0,0.32072,1.2442
123,-3.0,1.2688e-16,0.0027723,0.0,0.28811,1.2143
124,-3.1,1.2054e-16,0.0027811,0.0,0.25852,1.1864
125,-3.2,1.1419e-16,0.0027918,0.0,0.23154,1.1601
126,-3.3,1.0785e-16,0.0028044,0.0,0.20681,1.1349
127,-3.4,1.0151e-16,0.0028186,0.0,0.18406,1.1105
128,-3.5,9.5162e-17,0.0028342,0.0,0.16307,1.0868
129,-3.6,8.8818e-17,0.0028511,0.0,0.14363,1.0633
130,-3.7,8.2474e-17,0.0028693,0.0,0.12561,1.04
131,-3.8,7.613e-17,0.0028884,0.0,0.10888,1.0165
132,-3.9,6.9785e-17,0.0029084,0.0,0.09334,0.99273
133,-4.0,6.3441e-17,0.0029293,0.0,0.078929,0.96845
134,-4.1,5.7097e-17,0.0029507,0.0,0.0656,0.94343
135,-4.2,5.0753e-17,0.0029727,0.0,0.05333,0.91747
136,-4.3,4.4409e-17,0.0029951,0.0,0.042123,0.89032
137,-4.4,3.8065e-17,0.0030176,0.0,0.032007,0.86173
138,-4.5,3.1721e-17,0.0030403,0.0,0.023039,0.83139
139,-4.6,2.5377e-17,0.0030628,0.0,0.015304,0.79898
140,-4.7,1.9032e-17,0.0030851,0.0,0.0089236,0.76411
141,-4.8,1.2688e-17,0.0031068,0.0,0.0040589,0.72636
142,-4.9,6.3441e-18,0.0031277,0.0,0.00092558,0.68521
183,-5.0,-0.89992,0.0029657,-0.00060229,-7.6166e-05,0.72384
184,-5.0,-0.79993,0.0030024,-0.00053073,-9.4557e-05,0.70787
185,-5.0,-0.69994,0.0030354,-0.00046071,-0.00011215,0.69311
186,-5.0,-0.59995,0.0030645,-0.00039209,-0.0001285,0.67979
187,-5.0,-0.49995,0.0030895,-0.00032473,-0.00014324,0.66812
188,-5.0,-0.39996,0.0031102,-0.00025844,-0.00015577,0.6583
189,-5.0,-0.29997,0.0031264,-0.00019304,-0.00016671,0.65049
190,-5.0,-0.19998,0.0031382,-0.00012831,-0.00017259,0.64482
191,-5.0,-0.099985,0.0031452,-6.4041e-05,-0.00018768,0.6414
201,-0.64301,0.85699,0.0015679,0.0042336,0.13431,0.13344
202,-0.71414,0.78586,0.0016967,0.0040599,0.18262,0.18163
203,-0.78587,0.71413,0.0018255,0.0038718,0.23298,0.23182
204,-0.85699,0.64301,0.0019525,0.0036713,0.28569,0.28424
205,-0.92864,0.57136,0.0020801,0.0034539,0.34297,0.34124
206,-0.99999,0.50001,0.0022075,0.0032202,0.40627,0.40385
207,-1.0714,0.42859,0.0023359,0.0029661,0.47859,0.47603
208,-1.143,0.35701,0.0024665,0.0026872,0.56465,0.55911
209,-1.2142,0.28581,0.0025994,0.0023792,0.67264,0.67513
210,-1.2859,0.2141,0.0027395,0.0020286,0.81993,0.78044
211,-1.357,0.14296,0.0028844,0.0016126,1.0308,1.1826
212,-1.4287,0.07126,0.0030829,0.0010931,1.6797,0.29802
298,-5.0,0.099992,0.0031452,6.4018e-05,-0.00016842,0.64121
299,-5.0,0.19998,0.0031381,0.00012827,-0.00017429,0.64471
300,-5.0,0.29998,0.0031264,0.00019299,-0.00016513,0.65043
301,-5.0,0.39997,0.00311,0.00025839,-0.00015561,0.65829
302,-5.0,0.49996,0.0030893,0.00032468,-0.00014287,0.66815
303,-5.0,0.59995,0.0030643,0.00039205,-0.00012824,0.67986
304,-5.0,0.69995,0.0030351,0.00046067,-0.00011189,0.69321
305,-5.0,0.79994,0.0030021,0.0005307,-9.4311e-05,0.70799
397,5.0,0.0,-0.0031474,0.0,-0.00022994,0.63998
398,5.0,-0.099992,-0.0031451,-6.402e-05,-0.00016798,0.64123
399,5.0,-0.19998,-0.003138,-0.00012828,-0.00017436,0.64473
400,5.0,-0.29998,-0.0031262,-0.000193,-0.0001651,0.65046
401,5.0,-0.39997,-0.0031099,-0.0002584,-0.00015561,0.65832
402,5.0,-0.49996,-0.0030892,-0.00032469,-0.00014287,0.66819
403,5.0,-0.59995,-0.0030641,-0.00039206,-0.00012823,0.67989
404,5.0,-0.69995,-0.003035,-0.00046069,-0.00011188,0.69325
405,5.0,-0.79994,-0.003002,-0.00053073,-9.4295e-05,0.70803
406,5.0,-0.89993,-0.0029653,-0.00060231,-7.5909e-05,0.72403
447,1.5,0.0,-0.0032806,0.0,3.1471,9.4451
448,4.9,0.0,-0.0031276,0.0,0.0009259,0.68524
449,4.8,0.0,-0.0031067,0.0,0.0040603,0.72639
450,4.7,0.0,-0.0030849,0.0,0.0089263,0.76414
451,4.6,0.0,-0.0030627,0.0,0.015307,0.79901
452,4.5,0.0,-0.0030402,0.0,0.023043,0.83143
453,4.4,0.0,-0.0030175,0.0,0.032013,0.86177
454,4.3,0.0,-0.0029949,0.0,0.04213,0.89036
455,4.2,0.0,-0.0029726,0.0,0.053338,0.91751
456,4.1,0.0,-0.0029506,0.0,0.065609,0.94348
457,4.0,0.0,-0.0029291,0.0,0.078939,0.96849
458,3.9,0.0,-0.0029083,0.0,0.093352,0.99278
459,3.8,0.0,-0.0028883,0.0,0.10889,1.0166
460,3.7,0.0,-0.0028691,0.0,0.12562,1.04
461,3.6,0.0,-0.002851,0.0,0.14365,1.0634
462,3.5,0.0,-0.0028341,0.0,0.16308,1.0868
463,3.4,0.0,-0.0028184,0.0,0.18408,1.1106
464,3.3,0.0,-0.0028042,0.0,0.20683,1.1349
465,3.2,0.0,-0.0027917,0.0,0.23156,1.1601
466,3.1,0.0,-0.0027809,0.0,0.25855,1.1865
467,3.0,0.0,-0.0027722,0.0,0.28814,1.2144
468,2.9,0.0,-0.0027657,0.0,0.32076,1.2443
469,2.8,0.0,-0.0027616,0.0,0.35692,1.2767
470,2.7,0.0,-0.0027604,0.0,0.39728,1.3125
471,2.6,0.0,-0.0027623,0.0,0.44269,1.3526
472,2.5,0.0,-0.0027677,0.0,0.49425,1.3982
473,2.4,0.0,-0.0027771,0.0,0.55345,1.4512
474,2.3,0.0,-0.0027911,0.0,0.62234,1.5141
475,2.2,0.0,-0.0028105,0.0,0.70393,1.5906
476,2.1,0.0,-0.0028361,0.0,0.80273,1.6864
477,2.0,0.0,-0.0028693,0.0,0.92605,1.8111
478,1.9,0.0,-0.0029118,0.0,1.0871,1.9818
479,1.8,0.0,-0.0029665,0.0,1.3104,2.2245
480,1.7,0.0,-0.0030381,0.0,1.6672,2.6722
481,1.6,0.0,-0.0031313,0.0,2.2303,3.2789
490,0.64301,-0.85699,-0.0015676,-0.004234,0.13431,0.13336
491,0.71414,-0.78586,-0.0016964,-0.0040603,0.18266,0.18152
492,0.78587,-0.71413,-0.0018252,-0.0038721,0.23305,0.23163
493,0.85699,-0.64301,-0.0019521,-0.0036717,0.28582,0.28396
494,0.92864,-0.57136,-0.0020798,-0.0034543,0.34324,0.34075
495,0.99999,-0.50001,-0.0022071,-0.0032206,0.40671,0.40308
496,1.0714,-0.42859,-0.0023355,-0.0029665,0.47929,0.47453
497,1.143,-0.35701,-0.0024661,-0.0026877,0.56638,0.55745
498,1.2142,-0.28581,-0.0025989,-0.0023799,0.67497,0.66772
499,1.2859,-0.2141,-0.0027392,-0.0020292,0.82558,0.78542
500,1.357,-0.14296,-0.0028839,-0.0016148,1.0303,1.0973
501,1.4287,-0.07126,-0.0030832,-0.0010941,1.6943,0.23367
502,1.4287,0.071262,-0.0030943,0.0010811,1.7966,0.19492
503,1.357,0.14296,-0.002887,0.0016078,1.0321,1.1079
504,1.2859,0.2141,-0.0027421,0.0020259,0.82923,0.76791
505,1.2142,0.28582,-0.0026011,0.0023768,0.67378,0.67339
506,1.143,0.35701,-0.0024681,0.0026853,0.56631,0.55773
507,1.0714,0.42859,-0.0023374,0.0029643,0.47936,0.47556
508,0.99999,0.50001,-0.0022089,0.0032186,0.40684,0.40353
509,0.92864,0.57136,-0.0020814,0.0034525,0.34343,0.34111
510,0.85699,0.64301,-0.0019537,0.00367,0.286,0.28421
511,0.78586,0.71414,-0.0018267,0.0038706,0.23324,0.23184
512,0.71413,0.78587,-0.0016979,0.0040589,0.18282,0.1817
513,0.64301,0.85699,-0.001569,0.0042327,0.13446,0.13352
564,5.0,0.79993,-0.0030022,0.00053075,-9.4571e-05,0.70788
565,5.0,0.69994,-0.0030352,0.00046072,-0.00011216,0.69313
566,5.0,0.59995,-0.0030643,0.0003921,-0.00012852,0.67981
567,5.0,0.49995,-0.0030893,0.00032474,-0.00014326,0.66814
568,5.0,0.39996,-0.00311,0.00025845,-0.00015579,0.65832
569,5.0,0.29997,-0.0031263,0.00019305,-0.00016676,0.65051
570,5.0,0.19998,-0.003138,0.00012832,-0.00017254,0.64484
571,5.0,0.099985,-0.0031451,6.4044e-05,-0.00018814,0.64143
1293,2.0842,0.80054,-0.0021575,0.0013031,-0.010052,1.697
1375,2.177,0.80625,-0.0021977,0.0012454,0.01495,1.6478
1376,2.3773,0.818,-0.0022744,0.0011525,0.055209,1.5395
1377,2.6924,0.80294,-0.0023996,0.001016,0.098272,1.3889
1378,2.5882,0.80561,-0.0023633,0.0010516,0.090461,1.4354
1379,2.7953,0.80155,-0.0024325,0.00098658,0.10175,1.3466
1380,2.9976,0.80044,-0.0024921,0.0009393,0.10033,1.2725
1381,3.1984,0.80027,-0.0025475,0.00090056,0.092206,1.2083
1382,3.499,0.80041,-0.0026274,0.00084977,0.074061,1.124
1383,3.399,0.80017,-0.0026012,0.00086592,0.080604,1.1509
1384,3.5994,0.8001,-0.0026539,0.00083322,0.067351,1.0979
1385,3.8996,0.80015,-0.0027323,0.00078448,0.046843,1.0224
1386,3.7996,0.80006,-0.0027063,0.00080085,0.053627,1.0473
1387,3.9998,0.80003,-0.0027583,0.00076744,0.040238,0.99754
1393,4.1999,0.79993,-0.0028099,0.00073156,0.027811,0.94709
1395,2.002,0.7925,-0.0021226,0.0013593,-0.032287,1.7366
1414,1.7759,0.71202,-0.002088,0.0014744,-0.054908,1.8481
1416,4.3,0.79988,-0.0028355,0.00071229,0.022131,0.92117
1443,1.8728,0.72477,-0.0021297,0.0013724,-0.034074,1.8278
1444,1.9252,0.79941,-0.0020707,0.0014483,-0.062124,1.7585
1491,1.6981,0.74917,-0.0019927,0.0016628,-0.088661,1.7899
1492,2.0898,0.70312,-0.0022677,0.0011328,0.06361,1.7286
1493,2.2873,0.71062,-0.0023407,0.0010293,0.11067,1.5992
1494,2.4897,0.70841,-0.0024104,0.00094566,0.13891,1.4813
1495,2.3875,0.71105,-0.0023754,0.0009864,0.1268,1.5385
1496,2.6945,0.70273,-0.0024729,0.00088026,0.14754,1.3814
1497,2.5921,0.70517,-0.002443,0.00091008,0.14571,1.429
1498,2.7966,0.70165,-0.0025004,0.00085584,0.1454,1.3385
1499,3.0983,0.70092,-0.0025756,0.0007997,0.12676,1.2314
1500,3.2989,0.70058,-0.0026243,0.00076868,0.10975,1.1715
1501,3.1989,0.70027,-0.0026003,0.0007832,0.1186,1.2005
1502,3.4993,0.70036,-0.002673,0.0007401,0.091616,1.1172
1503,3.6996,0.70023,-0.0027221,0.00071231,0.073548,1.0661
1504,3.5996,0.7001,-0.0026976,0.00072597,0.082538,1.0914
1505,3.8997,0.70014,-0.0027717,0.00068405,0.056291,1.0164
1506,3.7997,0.70006,-0.0027469,0.00069818,0.06479,1.0412
1507,4.0998,0.70008,-0.0028216,0.00065415,0.04037,0.96644
1508,3.9998,0.70003,-0.0027967,0.0006693,0.048137,0.99156
1509,4.2999,0.70005,-0.0028715,0.00062141,0.02625,0.9146
1510,4.1999,0.70002,-0.0028466,0.00063817,0.033056,0.94084
1518,1.8769,0.61477,-0.0022703,0.0011626,0.052988,1.9176
1519,1.6659,0.82575,-0.0018773,0.0018525,-0.12494,1.6963
1520,4.4,0.69995,-0.0028962,0.00060346,0.02002,0.88747
1553,1.8319,0.83273,-0.0019745,0.0016179,-0.10702,1.7449
1554,1.8946,0.87442,-0.0019654,0.0016148,-0.11122,1.7148
1611,1.4707,0.8888,-0.0016839,0.0023226,-0.1183,1.4435
1613,1.6438,0.68735,-0.0020392,0.0016448,-0.061921,1.8275
1614,2.0907,0.60741,-0.0023745,0.00096849,0.15003,1.7566
1615,2.2935,0.60783,-0.0024404,0.00086684,0.19396,1.5992
1616,2.1931,0.60778,-0.0024099,0.00091146,0.17718,1.6737
1617,2.495,0.60452,-0.0024951,0.00079599,0.20674,1.4717
1618,2.6973,0.60227,-0.0025416,0.00074659,0.19832,1.3706
1619,2.5955,0.60397,-0.0025184,0.00077037,0.20401,1.4186
1620,2.8982,0.60134,-0.0025843,0.00071039,0.17933,1.2899
1621,3.0988,0.60082,-0.0026265,0.00068103,0.15621,1.2225
1622,3.2992,0.60051,-0.0026695,0.00065541,0.13202,1.1637
1623,3.1992,0.60027,-0.002648,0.00066745,0.1442,1.1922
1624,3.4995,0.60032,-0.0027138,0.00063163,0.10831,1.1104
1625,3.6997,0.6002,-0.0027597,0.00060834,0.085874,1.0601
1626,3.8998,0.60012,-0.0028068,0.00058448,0.065145,1.0108
1627,3.7998,0.60006,-0.0027831,0.00059644,0.075281,1.0354
1628,4.0999,0.60007,-0.0028549,0.00055908,0.046438,0.96082
1629,3.9999,0.60003,-0.0028308,0.00057198,0.055521,0.98598
1630,4.2999,0.60004,-0.0029034,0.00053109,0.030083,0.90856
1631,4.1999,0.60002,-0.0028791,0.00054545,0.037943,0.93507
1641,4.4,0.59997,-0.0029276,0.00051571,0.022919,0.88103
1651,1.7366,0.88041,-0.0018572,0.0018345,-0.14357,1.6854
1655,1.6527,0.54735,-0.0022368,0.0013582,0.02133,2.0393
1660,4.5,0.69994,-0.0029207,0.00058434,0.014441,0.85928
1661,4.5,0.59995,-0.0029516,0.00049925,0.016522,0.85227
1745,1.4247,0.78357,-0.0017929,0.0022684,-0.046367,1.436
1746,1.3437,0.85065,-0.0016692,0.0025473,-0.048456,1.2647
1747,1.5779,0.62796,-0.0020805,0.0016672,-0.022753,1.8368
1748,1.8933,0.51664,-0.0024055,0.00095767,0.1654,1.9812
1749,2.0963,0.50945,-0.002484,0.00079846,0.25769,1.7692
1750,2.2977,0.50606,-0.0025332,0.00071015,0.28445,1.5912
1751,2.4978,0.50346,-0.0025703,0.00065447,0.27477,1.4588
1752,2.3976,0.5041,-0.002553,0.00067874,0.28308,1.5203
1753,2.6984,0.50196,-0.0026034,0.0006162,0.24852,1.3584
1754,2.5979,0.50232,-0.0025872,0.00063341,0.26304,1.4054
1755,2.7988,0.50076,-0.0026202,0.00060006,0.23314,1.3165
1756,3.0993,0.50069,-0.0026715,0.00056413,0.18392,1.2134
1757,2.9992,0.50045,-0.0026539,0.00057481,0.20028,1.2448
1758,3.2995,0.50043,-0.0027091,0.00054356,0.15267,1.1561
1759,3.4997,0.50027,-0.0027494,0.00052431,0.12363,1.104
1760,3.6998,0.50016,-0.0027922,0.00050531,0.097092,1.0545
1761,3.8999,0.5001,-0.0028371,0.00048571,0.073157,1.0056
1762,3.9999,0.50003,-0.0028602,0.0004754,0.062189,0.98094
1763,4.3,0.50003,-0.0029308,0.00044146,0.03353,0.90322
1764,4.2,0.50002,-0.0029071,0.00045341,0.042342,0.92995
1765,4.5,0.50001,-0.0029782,0.00041493,0.018392,0.84613
1766,4.4,0.50001,-0.0029546,0.00042866,0.025524,0.87536
1777,1.7109,0.46278,-0.0023934,0.0010769,0.11574,2.1947
1786,4.6,0.69995,-0.0029449,0.00056375,0.0095986,0.82977
1872,1.208,0.85301,-0.0016171,0.0028731,0.010824,1.0208
1874,1.3554,0.71032,-0.0018623,0.0023362,0.0398,1.3366
1875,1.2809,0.78146,-0.0017384,0.0026148,0.029514,1.1616
