Node Number	Normal Stress (Pa)
87	2.9953
108	-2.2751e-004
109	2.1684
110	1.6607
111	1.3064
112	1.0856
113	0.92529
114	0.80234
115	0.70373
116	0.62223
117	0.55335
118	0.49418
119	0.44262
120	0.39722
121	0.35687
122	0.32072
123	0.28811
124	0.25852
125	0.23154
126	0.20681
127	0.18406
128	0.16307
129	0.14363
130	0.12561
131	0.10888
132	9.334e-002
133	7.8929e-002
134	6.56e-002
135	5.333e-002
136	4.2123e-002
137	3.2007e-002
138	2.3039e-002
139	1.5304e-002
140	8.9236e-003
141	4.0589e-003
142	9.2558e-004
192	-2.9206
193	-0.10282
194	-0.31787
195	-0.18675
196	-0.12897
197	-6.5727e-002
198	-1.2584e-002
199	3.7838e-002
200	8.6195e-002
201	0.13431
202	0.18262
203	0.23298
204	0.28569
205	0.34297
206	0.40627
207	0.47859
208	0.56465
209	0.67264
210	0.81993
211	1.0308
212	1.6797
213	0.55479
214	-0.90262
215	-0.6194
216	-0.43538
217	-0.32977
218	-0.25292
219	-0.19595
220	-0.15145
221	-0.11541
222	-8.5296e-002
223	-5.9434e-002
224	-3.6646e-002
225	-1.6084e-002
226	2.8868e-003
227	2.0747e-002
228	3.7878e-002
229	5.4583e-002
230	7.1116e-002
231	8.7692e-002
232	0.1045
233	0.12171
234	0.13949
235	0.158
236	0.17738
237	0.19781
238	0.21944
239	0.24248
240	0.26711
241	0.29355
242	0.32206
243	0.3529
244	0.3864
245	0.4229
246	0.46282
247	0.50663
248	4.1649e-005
249	-1.2766e-004
250	-6.7631e-004
251	-1.3421e-003
252	-1.9252e-003
253	-2.3185e-003
254	-2.4503e-003
255	-2.2635e-003
256	-1.7051e-003
257	-7.2096e-004
258	7.4609e-004
259	2.7569e-003
260	5.3758e-003
261	8.6696e-003
262	1.2706e-002
263	1.7554e-002
264	2.3281e-002
265	2.9949e-002
266	3.7621e-002
267	4.6349e-002
268	5.6181e-002
269	6.7155e-002
270	7.9299e-002
271	9.2631e-002
272	0.10715
273	0.12286
274	0.13971
275	0.15768
276	0.17671
277	0.19671
278	0.21759
279	0.23924
280	0.26153
281	0.2843
282	0.3074
283	0.33063
284	0.35382
285	0.37674
286	0.39918
287	0.42092
288	0.44173
289	0.46139
290	0.47968
291	0.49639
292	0.51132
293	0.52428
294	0.53512
295	0.54369
296	0.54988
297	0.55361
298	-1.6842e-004
299	-1.7429e-004
300	-1.6513e-004
301	-1.5561e-004
302	-1.4287e-004
303	-1.2824e-004
304	-1.1189e-004
305	-9.4311e-005
306	-7.5928e-005
307	-5.7168e-005
308	-3.8445e-005
309	-2.0133e-005
310	-2.5724e-006
311	1.3949e-005
312	2.9188e-005
313	4.2957e-005
314	5.5119e-005
315	6.5581e-005
316	7.4298e-005
317	8.126e-005
318	8.6505e-005
319	9.0063e-005
320	9.2032e-005
321	9.2506e-005
322	9.1598e-005
323	8.9402e-005
324	8.6064e-005
325	8.1702e-005
326	7.6448e-005
327	7.0426e-005
328	6.3763e-005
329	5.6583e-005
330	4.901e-005
331	4.1167e-005
332	3.3176e-005
333	2.5166e-005
334	1.7267e-005
335	9.62e-006
336	2.3793e-006
337	-4.2818e-006
338	-1.0164e-005
339	-1.5028e-005
340	-1.8576e-005
341	-2.0442e-005
342	-2.0072e-005
343	-1.6941e-005
344	-9.2371e-006
345	5.2125e-008
346	1.277e-005
5294	0.23457
5295	0.52335
5296	-0.26369
5297	-0.13053
5298	-0.12528
5299	-0.13589
5300	-0.13326
5301	-0.12091
5302	-0.14027
5303	-0.13451
5304	-0.14086
5305	-0.13344
5306	-0.12741
5307	-0.11915
5308	-0.11008
5309	-0.11524
5310	-0.13039
5311	-0.14711
5312	-9.8455e-002
5313	-0.13371
5314	-0.14497
5315	-0.14725
5316	-0.14358
5317	-0.13224
5318	-0.13998
5319	-0.11629
5320	-0.11025
5321	-0.11306
5322	-0.10338
5323	-0.10703
5324	-9.4291e-002
5325	-9.9123e-002
5326	-0.11607
5327	-0.10767
5328	-0.12326
5329	-0.1532
5330	-0.15641
5331	-0.11571
5332	-0.13679
5333	-0.14772
5334	-0.14528
5335	-0.1586
5336	-0.11489
5337	-9.8814e-002
5338	-9.9459e-002
5339	-9.6456e-002
5340	-9.1127e-002
5341	-8.3627e-002
5342	-8.7616e-002
5343	-7.4311e-002
5344	-7.9087e-002
5345	-9.1799e-002
5346	-0.1072
5347	-9.9896e-002
5348	-0.11844
5349	-0.12476
5350	-0.12241
5351	-0.10347
5352	-0.12969
5353	-0.14897
5354	-0.14893
5355	-0.16262
5356	-7.9276e-002
5357	-0.15699
5358	-8.1192e-002
5359	-8.3205e-002
5360	-8.2121e-002
5361	-7.2575e-002
5362	-6.504e-002
5363	-6.8943e-002
5364	-8.5006e-002
5365	-9.8457e-002
5366	-0.1082
5367	-0.10377
5368	-0.11328
5369	-0.1114
5370	-0.11233
5371	-0.1136
5372	-0.10449
5373	-0.10932
5374	-6.0855e-002
5375	-0.12556
5376	-0.12208
5377	-0.17276
5378	-0.14766
5379	-0.1653
5380	-0.16134
5381	-5.7784e-002
5382	-6.3314e-002
5383	-6.6766e-002
5384	-6.7489e-002
5385	-6.5434e-002
5386	-6.1265e-002
5387	-5.5495e-002
5388	-5.8528e-002
5389	-4.8617e-002
5390	-6.4105e-002
5391	-7.8101e-002
5392	-8.9919e-002
5393	-9.8317e-002
5394	-9.4586e-002
5395	-0.10092
5396	-0.1006
5397	-0.10218
5398	-9.2496e-002
5399	-9.7428e-002
5400	-7.6882e-002
5401	-8.5655e-002
5402	-4.8375e-002
5403	-7.0829e-002
5404	-9.3347e-002
5405	-8.852e-002
5406	-2.6579e-002
5407	-0.11747
5408	-5.6662e-002
5409	-0.18314
5410	-0.13555
5411	-0.14616
5412	-0.16636
5413	-0.18105
5414	-0.18984
5415	-8.7201e-002
5416	-3.7357e-002
5417	-4.4985e-002
5418	-5.0167e-002
5419	-5.244e-002
5420	-5.1582e-002
5421	-5.2175e-002
5422	-4.9803e-002
5423	-4.5782e-002
5424	-4.7952e-002
5425	-4.056e-002
5426	-5.8843e-002
5427	-5.201e-002
5428	-7.1344e-002
5429	-8.1573e-002
5430	-8.8753e-002
5431	-8.5685e-002
5432	-9.1684e-002
5433	-9.0832e-002
5434	-8.9572e-002
5435	-9.134e-002
5436	-8.1431e-002
5437	-8.6296e-002
5438	-6.6598e-002
5439	-7.494e-002
5440	-7.7223e-002
5441	-6.6317e-002
5442	-4.1996e-002
5443	-6.4513e-002
5444	-0.11593
5445	-3.7632e-002
5446	-4.8182e-002
5447	-0.19266
5448	-0.14294
5449	-0.14958
5450	-0.18392
5451	-0.19573
5452	-5.358e-003
5453	-1.745e-002
5454	-2.6771e-002
5455	-3.3469e-002
5456	-3.7414e-002
5457	-3.5713e-002
5458	-3.89e-002
5459	-3.8296e-002
5460	-3.6002e-002
5461	-3.7318e-002
5462	-3.2428e-002
5463	-2.7967e-002
5464	-0.10127
5465	-8.931e-002
5466	-4.1081e-002
5467	-3.4568e-002
5468	-5.3541e-002
5469	-4.7441e-002
5470	-6.4636e-002
5471	-7.3598e-002
5472	-6.9447e-002
5473	-7.9606e-002
5474	-7.7043e-002
5475	-8.1798e-002
5476	-8.1259e-002
5477	-7.9314e-002
5478	-8.1223e-002
5479	-7.1461e-002
5480	-7.6097e-002
5481	-5.7527e-002
5482	-6.5269e-002
5483	-4.4844e-002
5484	-3.7403e-002
5485	-6.3421e-002
5486	9.5447e-003
5487	-1.238e-002
5488	-3.4596e-002
5489	-0.20133
5490	-8.7181e-002
5491	-0.13846
5492	3.108e-002
5493	-1.9802e-002
5494	-0.16414
5495	-0.1638
5496	-8.175e-002
5497	-0.18523
5498	-0.20164
5499	-0.20035
5500	-0.19004
5501	1.5522e-002
5502	2.1848e-003
5503	-8.7222e-003
5504	-1.6911e-002
5505	-2.2496e-002
5506	-1.9968e-002
5507	-2.5704e-002
5508	-2.6841e-002
5509	-2.6255e-002
5510	-2.6726e-002
5511	-2.4313e-002
5512	-2.1379e-002
5513	-0.11483
5514	-0.10247
5515	-3.7196e-002
5516	-4.8251e-002
5517	-5.803e-002
5518	-5.335e-002
5519	-6.5831e-002
5520	-6.2234e-002
5521	-7.0912e-002
5522	-6.8775e-002
5523	-7.2505e-002
5524	-7.2214e-002
5525	-6.9859e-002
5526	-7.1782e-002
5527	-6.2296e-002
5528	-6.6757e-002
5529	-5.6536e-002
5530	-3.1033e-002
5531	-4.0849e-002
5532	-3.0956e-002
5533	-2.4933e-002
5534	-4.6912e-002
5535	-6.8637e-002
5536	-5.6926e-002
5537	-0.12595
5538	-0.13276
5539	1.7754e-002
5540	-3.8864e-003
5541	-2.5842e-002
5542	-4.8413e-002
5543	-7.1241e-002
5544	-9.4446e-002
5545	-0.11789
5546	3.9566e-002
5547	-0.16061
5548	-9.6358e-002
5549	-0.18478
5550	-0.17836
5551	-0.19252
5552	-0.21503
5553	-0.20284
5554	5.23e-002
5555	3.5875e-002
5556	2.1295e-002
5557	9.1144e-003
5558	-5.5805e-004
5559	-1.2679e-002
5560	-1.0468e-002
5561	-1.5537e-002
5562	-1.6638e-002
5563	-1.6274e-002
5564	-1.6308e-002
5565	-1.4884e-002
5566	-1.2697e-002
5567	-1.3863e-002
5568	-0.12931
5569	-0.11676
5570	-2.2994e-002
5571	-1.7814e-002
5572	-3.3294e-002
5573	-2.8181e-002
5574	-4.3022e-002
5575	-3.827e-002
5576	-5.1572e-002
5577	-4.7489e-002
5578	-5.8314e-002
5579	-5.522e-002
5580	-6.2584e-002
5581	-6.0814e-002
5582	-6.3702e-002
5583	-6.3597e-002
5584	-6.1023e-002
5585	-5.3975e-002
5586	-5.8098e-002
5587	-4.2171e-002
5588	-4.8706e-002
5589	-2.5604e-002
5590	-3.4465e-002
5591	-7.3193e-003
5592	-1.5361e-002
5593	-2.8212e-002
5594	-2.1212e-002
5595	-4.7025e-002
5596	-3.6824e-002
5597	-7.2698e-002
5598	-5.9014e-002
5599	-0.14896
5600	-0.15543
5601	7.0278e-002
5602	2.7013e-002
5603	5.345e-003
5604	-1.6654e-002
5605	-3.9039e-002
5606	-6.1934e-002
5607	-8.5152e-002
5608	-0.10884
5609	-0.13252
5610	-8.8427e-002
5611	-0.11618
5612	9.178e-002
5613	-1.1425e-002
5614	-0.19293
5615	-0.22004
5616	-0.20612
5617	-0.21516
5618	7.3257e-002
5619	5.5821e-002
5620	4.0186e-002
5621	2.6699e-002
5622	1.5528e-002
5623	6.6904e-003
5624	8.4703e-005
5625	-4.4773e-003
5626	-7.2449e-003
5627	-6.0578e-003
5628	-8.5052e-003
5629	-8.565e-003
5630	-7.7379e-003
5631	-8.2411e-003
5632	-0.14485
5633	-0.13227
5634	-2.0421e-002
5635	-1.589e-002
5636	-2.942e-002
5637	-3.376e-002
5638	-4.5305e-002
5639	-4.1774e-002
5640	-5.1084e-002
5641	-5.4646e-002
5642	-5.319e-002
5643	-5.5399e-002
5644	-5.5426e-002
5645	-5.2795e-002
5646	-4.6353e-002
5647	-5.0096e-002
5648	-3.5772e-002
5649	-4.1608e-002
5650	-2.1025e-002
5651	-2.5517e-003
5652	-1.2199e-002
5653	6.355e-003
5654	1.8006e-003
5655	4.4441e-003
5656	-7.3315e-003
5657	-2.2133e-003
5658	-2.252e-002
5659	-1.4134e-002
5660	-4.5459e-002
5661	-3.285e-002
5662	-7.6883e-002
5663	-0.17184
5664	-0.17787
5665	7.9436e-002
5666	3.668e-002
5667	1.5101e-002
5668	-6.8282e-003
5669	-5.1987e-002
5670	-7.5154e-002
5671	-9.8874e-002
5672	-0.1465
5673	-0.17029
5674	-9.53e-002
5675	-0.1937
5676	-7.0942e-003
5677	-0.1326
5678	-0.18729
5679	-0.22324
5680	-0.12484
5681	-0.22998
5682	-0.1196
5683	-0.22974
5684	0.11317
5685	9.3918e-002
5686	7.5617e-002
5687	5.8844e-002
5688	6.707e-002
5689	4.3992e-002
5690	3.1286e-002
5691	2.0802e-002
5692	1.2498e-002
5693	6.2404e-003
5694	1.8253e-003
5695	3.8258e-003
5696	-9.9771e-004
5697	-2.5087e-003
5698	-3.0037e-003
5699	-2.7835e-003
5700	-2.9637e-003
5701	-0.16096
5702	-0.14882
5703	-1.0077e-002
5704	-6.3434e-003
5705	-1.7845e-002
5706	-1.3931e-002
5707	-2.5616e-002
5708	-3.2916e-002
5709	-2.9357e-002
5710	-3.9267e-002
5711	-3.6245e-002
5712	-4.4171e-002
5713	-4.1937e-002
5714	-4.712e-002
5715	-4.5931e-002
5716	-4.7601e-002
5717	-4.5158e-002
5718	-3.9386e-002
5719	-4.2722e-002
5720	-3.0059e-002
5721	-1.719e-002
5722	-1.1285e-003
5723	-9.5305e-003
5724	1.8921e-002
5725	1.7267e-002
5726	2.0929e-002
5727	2.031e-002
5728	2.0944e-002
5729	1.5646e-002
5730	1.8426e-002
5731	4.8251e-003
5732	1.0958e-002
5733	-1.3785e-002
5734	-3.5309e-003
5735	-4.2316e-002
5736	-8.3816e-002
5737	-0.1942
5738	-0.19979
5739	0.13233
5740	0.11063
5741	8.9149e-002
5742	6.8062e-002
5743	3.4999e-003
5744	-4.128e-002
5745	-6.43e-002
5746	-8.7949e-002
5747	-0.1363
5748	-0.16088
5749	-0.18518
5750	-0.20842
5751	-9.1292e-002
5752	-0.15016
5753	-0.20954
5754	-0.22413
5755	0.15438
5756	-2.5031e-003
5757	-0.14916
5758	-0.23874
5759	-0.22177
5760	-0.23807
5761	-0.13878
5762	-0.25763
5763	0.13457
5764	0.11459
5765	9.5283e-002
5766	7.7257e-002
5767	8.6127e-002
5768	6.0954e-002
5769	6.891e-002
5770	4.6652e-002
5771	3.4485e-002
5772	2.4468e-002
5773	1.6518e-002
5774	2.0254e-002
5775	1.0473e-002
5776	1.3277e-002
5777	6.1182e-003
5778	3.1964e-003
5779	1.4277e-003
5780	5.2002e-004
5781	8.8502e-004
5782	-0.17775
5783	-0.16599
5784	-8.6934e-003
5785	-5.5184e-003
5786	-1.1974e-002
5787	-2.1922e-002
5788	-1.8641e-002
5789	-2.8123e-002
5790	-2.5102e-002
5791	-3.3494e-002
5792	-3.0942e-002
5793	-3.7606e-002
5794	-3.5739e-002
5795	-4.0025e-002
5796	-3.9061e-002
5797	-4.0308e-002
5798	-4.0472e-002
5799	-3.8094e-002
5800	-3.3035e-002
5801	-3.5946e-002
5802	-2.4964e-002
5803	-1.3922e-002
5804	-1.9811e-002
5805	-2.3544e-004
5806	-7.3817e-003
5807	1.5419e-002
5808	3.0393e-002
5809	2.7072e-002
5810	3.6153e-002
5811	3.9872e-002
5812	4.0135e-002
5813	3.4804e-002
5814	3.8134e-002
5815	2.1608e-002
5816	2.9197e-002
5817	-2.6116e-003
5818	1.1141e-002
5819	-7.5937e-002
5820	-0.21573
5821	-0.22103
5822	0.12019
5823	9.8813e-002
5824	5.6683e-002
5825	3.5755e-002
5826	1.4169e-002
5827	-7.5972e-003
5828	-2.9957e-002
5829	-5.298e-002
5830	-7.6387e-002
5831	-0.12538
5832	-0.15094
5833	-0.17724
5834	0.16397
5835	2.9359e-004
5836	-0.20235
5837	-0.16885
5838	-0.24353
5839	-0.26913
5840	0.17681
5841	0.18671
5842	0.15625
5843	0.13533
5844	0.11483
5845	9.541e-002
5846	0.10499
5847	7.754e-002
5848	8.629e-002
5849	6.1558e-002
5850	4.7654e-002
5851	3.5897e-002
5852	4.1521e-002
5853	2.6251e-002
5854	3.0825e-002
5855	1.8595e-002
5856	1.2742e-002
5857	8.4582e-003
5858	1.0422e-002
5859	5.475e-003
5860	3.5067e-003
5861	2.2641e-003
5862	2.8126e-003
5863	-0.19475
5864	-0.18374
5865	-2.1472e-003
5866	1.7637e-004
5867	-7.3134e-003
5868	-4.6606e-003
5869	-1.2846e-002
5870	-1.0057e-002
5871	-1.8378e-002
5872	-1.5635e-002
5873	-2.3554e-002
5874	-2.1034e-002
5875	-2.8022e-002
5876	-3.1418e-002
5877	-3.2606e-002
5878	-3.3523e-002
5879	-3.3713e-002
5880	-3.1588e-002
5881	-2.7261e-002
5882	-2.9742e-002
5883	-2.0428e-002
5884	-1.1142e-002
5885	3.04e-004
5886	1.3327e-002
5887	2.704e-002
5888	4.2028e-002
5889	3.6984e-002
5890	4.6948e-002
5891	6.0116e-002
5892	5.61e-002
5893	6.586e-002
5894	6.7041e-002
5895	6.6942e-002
5896	6.0487e-002
5897	6.4678e-002
5898	4.3014e-002
5899	5.3186e-002
5900	1.2849e-002
5901	-4.3829e-002
5902	-0.23637
5903	-0.24001
5904	0.17312
5905	0.12948
5906	4.6106e-002
5907	2.4981e-002
5908	3.664e-003
5909	-1.8228e-002
5910	-4.0806e-002
5911	-6.4143e-002
5912	-8.8488e-002
5913	-0.13998
5914	-0.16834
5915	-0.19825
5916	-0.2647
5917	-0.25222
5918	-0.21848
5919	-0.18747
5920	-0.14962
5921	-0.31298
5922	-0.25068
5923	-0.26018
5924	-0.10649
5925	-0.25629
5926	0.21972
5927	1.8238e-003
5928	-0.23644
5929	-0.18904
5930	2.7764e-002
5931	-0.29796
5932	-0.26437
5933	-0.35315
5934	-0.14939
5935	-0.35672
5936	-0.24857
5937	-0.25732
5938	0.19977
5939	0.21004
5940	0.17828
5941	0.18919
5942	0.15618
5943	0.13429
5944	0.1452
5945	0.11328
5946	0.12367
5947	7.5929e-002
5948	6.0217e-002
5949	6.782e-002
5950	4.6681e-002
5951	5.3184e-002
5952	3.5331e-002
5953	4.0743e-002
5954	2.6081e-002
5955	1.8769e-002
5956	1.5776e-002
5957	9.0526e-003
5958	1.0951e-002
5959	6.1047e-003
5960	4.0439e-003
5961	-0.21204
5962	-1.753e-003
5963	1.3782e-004
5964	-5.9719e-003
5965	-3.8039e-003
5966	-1.0498e-002
5967	-8.2162e-003
5968	-1.5022e-002
5969	-1.2779e-002
5970	-1.925e-002
5971	-2.2888e-002
5972	-2.1163e-002
5973	-2.5638e-002
5974	-2.7201e-002
5975	-2.6591e-002
5976	-2.745e-002
5977	-2.5629e-002
5978	-2.6696e-002
5979	-2.2032e-002
5980	-1.6397e-002
5981	-1.9476e-002
5982	-8.7776e-003
5983	5.7244e-004
5984	1.1168e-002
5985	2.2287e-002
5986	4.0184e-002
5987	3.3817e-002
5988	5.3568e-002
5989	4.6784e-002
5990	6.7303e-002
5991	6.0416e-002
5992	8.0587e-002
5993	9.226e-002
5994	0.10054
5995	9.6784e-002
5996	0.10238
5997	0.10224
5998	9.3898e-002
5999	9.948e-002
6000	6.986e-002
6001	8.3926e-002
6002	2.4249e-002
6003	4.755e-002
