Node Number	Normal Stress (Pa)
87	9.1555
108	0.63997
109	3.1993
110	2.7056
111	2.2172
112	1.9837
113	1.8106
114	1.6864
115	1.5904
116	1.514
117	1.4511
118	1.3981
119	1.3525
120	1.3124
121	1.2767
122	1.2442
123	1.2143
124	1.1864
125	1.1601
126	1.1349
127	1.1105
128	1.0868
129	1.0633
130	1.04
131	1.0165
132	0.99273
133	0.96845
134	0.94343
135	0.91747
136	0.89032
137	0.86173
138	0.83139
139	0.79898
140	0.76411
141	0.72636
142	0.68521
192	-0.88289
193	-0.55951
194	-0.29171
195	-0.20259
196	-0.12746
197	-6.7553e-002
198	-1.3282e-002
199	3.6989e-002
200	8.5403e-002
201	0.13344
202	0.18163
203	0.23182
204	0.28424
205	0.34124
206	0.40385
207	0.47603
208	0.55911
209	0.67513
210	0.78044
211	1.1826
212	0.29802
213	1.0001
214	-0.63074
215	-0.31708
216	-0.14465
217	-8.4881e-003
218	0.10006
219	0.19185
220	0.27101
221	0.34054
222	0.40238
223	0.45791
224	0.50812
225	0.5538
226	0.59555
227	0.63387
228	0.66917
229	0.70178
230	0.73198
231	0.76002
232	0.7861
233	0.81038
234	0.83301
235	0.8541
236	0.87374
237	0.89201
238	0.90895
239	0.9246
240	0.93896
241	0.95202
242	0.96374
243	0.97405
244	0.98287
245	0.99008
246	0.9955
247	0.99896
248	1.
249	1.
250	1.
251	0.99999
252	0.99999
253	0.99998
254	0.99997
255	0.99997
256	0.99997
257	0.99996
258	0.99996
259	0.99995
260	0.99995
261	0.99994
262	0.99994
263	0.99993
264	0.99993
265	0.99992
266	0.99992
267	0.99991
268	0.99991
269	0.99991
270	0.99991
271	0.99991
272	0.99991
273	0.99991
274	0.99991
275	0.99992
276	0.99992
277	0.99993
278	0.99994
279	0.99995
280	0.99996
281	0.99998
282	0.99999
283	1.
284	1.
285	1.
286	1.0001
287	1.0001
288	1.0001
289	1.0001
290	1.0001
291	1.0001
292	1.0002
293	1.0002
294	1.0002
295	1.0002
296	1.0002
297	1.0002
298	0.64121
299	0.64471
300	0.65043
301	0.65829
302	0.66815
303	0.67986
304	0.69321
305	0.70799
306	0.72399
307	0.74095
308	0.75863
309	0.7768
310	0.79521
311	0.81364
312	0.83188
313	0.84972
314	0.86699
315	0.88354
316	0.89924
317	0.91396
318	0.92764
319	0.94019
320	0.95157
321	0.96177
322	0.97077
323	0.9786
324	0.98528
325	0.99086
326	0.99538
327	0.99893
328	1.0016
329	1.0034
330	1.0046
331	1.0051
332	1.005
333	1.0046
334	1.0039
335	1.0029
336	1.0019
337	1.0008
338	0.99982
339	0.99899
340	0.99837
341	0.99803
342	0.99798
343	0.99822
344	0.99871
345	0.99933
346	0.99987
5294	2.686
5295	3.3661
5296	1.1712
5297	1.1648
5298	1.1643
5299	1.1648
5300	1.1736
5301	1.1633
5302	1.1775
5303	1.1796
5304	1.1628
5305	1.1862
5306	1.1492
5307	1.1525
5308	1.1503
5309	1.1598
5310	1.1444
5311	1.1786
5312	1.1416
5313	1.2001
5314	1.1583
5315	1.1891
5316	1.1939
5317	1.1371
5318	1.1987
5319	1.1245
5320	1.139
5321	1.1361
5322	1.1401
5323	1.1402
5324	1.1351
5325	1.1383
5326	1.1653
5327	1.1534
5328	1.177
5329	1.177
5330	1.192
5331	1.1148
5332	1.2114
5333	1.1507
5334	1.2114
5335	1.1729
5336	1.1042
5337	1.1038
5338	1.1191
5339	1.1267
5340	1.1281
5341	1.1239
5342	1.1267
5343	1.1149
5344	1.1199
5345	1.1351
5346	1.1564
5347	1.1457
5348	1.1772
5349	1.1976
5350	1.1877
5351	1.0846
5352	1.1125
5353	1.1399
5354	1.2238
5355	1.1654
5356	1.0726
5357	1.2214
5358	1.0928
5359	1.1073
5360	1.1149
5361	1.1131
5362	1.1053
5363	1.1096
5364	1.1276
5365	1.1466
5366	1.1653
5367	1.1559
5368	1.1832
5369	1.1744
5370	1.1995
5371	1.1916
5372	1.2137
5373	1.2069
5374	1.1002
5375	1.0966
5376	1.2254
5377	1.2198
5378	1.1255
5379	1.1547
5380	1.2348
5381	1.063
5382	1.0827
5383	1.0962
5384	1.1037
5385	1.1055
5386	1.1027
5387	1.096
5388	1.0997
5389	1.0864
5390	1.1026
5391	1.1193
5392	1.1362
5393	1.1527
5394	1.1445
5395	1.1606
5396	1.1818
5397	1.1752
5398	1.1932
5399	1.1879
5400	1.2012
5401	1.1977
5402	1.0369
5403	1.044
5404	1.0516
5405	1.2245
5406	1.0308
5407	1.2338
5408	1.1798
5409	1.2219
5410	1.2434
5411	1.1097
5412	1.1409
5413	1.1712
5414	1.1984
5415	1.0327
5416	1.0548
5417	1.0731
5418	1.0857
5419	1.0928
5420	1.0899
5421	1.0949
5422	1.0926
5423	1.0869
5424	1.0901
5425	1.0785
5426	1.0956
5427	1.0881
5428	1.1106
5429	1.1253
5430	1.1396
5431	1.1327
5432	1.1526
5433	1.1463
5434	1.1638
5435	1.1585
5436	1.1725
5437	1.1685
5438	1.1781
5439	1.1758
5440	1.2286
5441	1.2042
5442	1.0214
5443	1.0267
5444	1.0605
5445	1.0735
5446	1.1558
5447	1.2208
5448	1.0913
5449	1.2602
5450	1.1574
5451	1.1887
5452	1.0256
5453	1.0475
5454	1.0642
5455	1.0759
5456	1.0826
5457	1.0798
5458	1.0847
5459	1.083
5460	1.0781
5461	1.0809
5462	1.0708
5463	1.0617
5464	1.248
5465	1.2533
5466	1.0748
5467	1.0682
5468	1.0881
5469	1.0814
5470	1.1014
5471	1.1142
5472	1.1079
5473	1.1262
5474	1.1204
5475	1.1369
5476	1.1318
5477	1.1456
5478	1.1416
5479	1.1521
5480	1.1492
5481	1.1554
5482	1.1542
5483	1.1803
5484	1.1554
5485	1.2315
5486	0.99908
5487	1.0013
5488	1.0042
5489	1.2161
5490	1.2834
5491	1.0708
5492	0.99757
5493	1.1288
5494	1.1048
5495	1.2753
5496	1.315
5497	1.1402
5498	1.2381
5499	1.1752
5500	1.2666
5501	1.0213
5502	1.0409
5503	1.0561
5504	1.0667
5505	1.0729
5506	1.0703
5507	1.0751
5508	1.0738
5509	1.0696
5510	1.072
5511	1.0633
5512	1.0553
5513	1.2706
5514	1.2776
5515	1.0685
5516	1.0803
5517	1.0918
5518	1.0861
5519	1.1028
5520	1.0974
5521	1.1128
5522	1.108
5523	1.1212
5524	1.1173
5525	1.1277
5526	1.1248
5527	1.1317
5528	1.1302
5529	1.1327
5530	1.1311
5531	1.1324
5532	1.1794
5533	1.1538
5534	1.2323
5535	1.2872
5536	1.2594
5537	1.0229
5538	1.048
5539	0.98434
5540	0.98452
5541	0.98548
5542	0.98715
5543	0.98927
5544	0.99213
5545	0.99612
5546	0.98446
5547	1.0825
5548	1.3423
5549	1.1195
5550	1.2887
5551	1.283
5552	1.1944
5553	1.2721
5554	0.99672
5555	1.0177
5556	1.0352
5557	1.0487
5558	1.0582
